,OA,AA,KAPPA,F1 MACRO,P MACRO,ENTROPY,LOGp,Pmax,Ptrue,AUC MACRO,F1 bin,P bin
Inp_NoFu_MVCCA,0.6064587973273942,0.5327236505586216,0.07269290570873989,0.5244313379092472,0.5503937840985185,0.5530124538622256,-0.8262614460306649,0.8300238858474387,0.602776950823853,0.6345570063265582,0.7199155688064169,0.6591801915478784
Inp_NoFu_PCAind,0.7419821826280624,0.6459445416610581,0.3406757306791499,0.6413691744448602,0.8300247953946274,0.7022605133333534,-0.5761767881157438,0.7846960780256125,0.6530105475275056,0.7419582716381747,0.8309036358337074,0.7172573624823689
Inp_raw,0.6897550111358575,0.6127602638309328,0.2535154840971505,0.605635277467604,0.7290169231656187,0.7338106072996095,-0.6160063483491827,0.7558094846603564,0.6237913011422049,0.6981542603311348,0.7817977446487754,0.7053932160621053
MuFu_Deci_avg,0.6346325167037862,0.5753476914793377,0.16571661723888892,0.5696501999719314,0.619876904475201,0.7675335930906639,-0.6909937715035379,0.7323127463563475,0.5825330376900891,0.6317140934176874,0.727395949456872,0.6849462854303983
MuFu_Feat_avg,0.7041202672605791,0.6298120877641675,0.2857477461712652,0.6261097375536037,0.7060448499928059,0.7386641397462899,-0.6014537924908567,0.7492355827449889,0.6285286561532294,0.7156710189796742,0.7938720416660804,0.7174162856160746
MuFu_Feat_avg_MuLoss,0.6829621380846326,0.6479577332076996,0.30216884854946024,0.6419004475926622,0.6777820521825099,0.7342370395138439,-0.6134749546503823,0.7508257144654789,0.6227800375614699,0.7156101763359806,0.7514903909574204,0.7467564084759846
MuFu_Feat_avg_adapt,0.665033407572383,0.5852470049804819,0.18601241034233057,0.5658713696171204,0.6018164448552776,0.7230922002445327,-0.6457867174556244,0.7598972886258352,0.6134388805583518,0.6638212410822453,0.7667892532703025,0.6914642842415099
MuFu_Feat_avg_adaptF,0.7016703786191536,0.6650087494952215,0.33884355793427196,0.667270949902918,0.6817887025519352,0.716105841230731,-0.6032573856847192,0.7558376418051225,0.6342587327015591,0.7182503701709517,0.7719548226327682,0.753178340008658
MuFu_Feat_concat,0.6917594654788418,0.6396306366940369,0.29044207654860515,0.6302854304699023,0.648754673258811,0.7978503356494823,-0.613410096061141,0.7118584125256124,0.6031521372947661,0.6749390227486876,0.7716660847682306,0.7340982536675486
MuFu_Feat_concat_adapt,0.649554565701559,0.5787231121281464,0.175688777058521,0.5717854408530911,0.6314313089029115,0.680550433368816,-0.7128887757094627,0.7764670076013364,0.6062794391762807,0.6492152375824471,0.747525628781872,0.6852688711636237
MuFu_Feat_max,0.6570155902004454,0.5543594023421725,0.12571969591013574,0.5025939157505892,0.5359643751495639,0.8532541142651284,-0.6326192609115109,0.6602131882973274,0.5757340754702673,0.5885806972674653,0.7679880599047308,0.6686879775274116
MuFu_Feat_prod,0.6403118040089086,0.5,0.0,0.39035980991174474,0.3201559020044543,0.9970536475573761,-0.6812686547349678,0.5247468762639198,0.506944870752784,0.45897752052766194,0.7807196198234895,0.6403118040089086
Pool_DEM,0.6249443207126949,0.488,-0.030204404639914008,0.3845676766682169,0.3173272852412488,0.8311304994002893,-0.7383752460970178,0.7155389206447661,0.5403117306603564,0.4114281868353749,0.7691353533364338,0.6346545704824976
Pool_S1,0.6975501113585746,0.6303125588908333,0.28421346375829337,0.6336698637575953,0.674959492521463,0.6918315788037002,-0.6114306557556768,0.7842561252706013,0.6351765495599109,0.6678810068649885,0.7862800532063016,0.71779121200403
Pool_S2,0.6721603563474388,0.5821962579081976,0.18758597933056476,0.5658687695465017,0.6782629291350253,0.7233284292401613,-0.6566669656868412,0.7625015075356347,0.6104942166324053,0.6430485933503836,0.7776237316435198,0.6857263023278738
Pool_VI,0.766369710467706,0.6898861219545026,0.4273265097399987,0.6996463399069798,0.8143108440811568,0.7763326773303947,-0.5502936885815319,0.7495399641436525,0.6396879588353006,0.7150389016018306,0.8405996959033954,0.7469994286390489
Pool_weather,0.6403118040089086,0.5,0.0,0.39035980991174474,0.3201559020044543,0.7216678175669141,-0.7951632865420697,0.7790841016191536,0.5598618884996659,0.37069053708439903,0.7807196198234895,0.6403118040089086
EnsembleAVG,0.679510022271715,0.5603914389554449,0.14397326056428,0.5060105896475113,0.7897687279157102,0.8351653925980772,-0.6042681066366826,0.7085914302223608,0.5971064688375278,0.694954906447705,0.7976676098520123,0.6711942383608045
