,OA,AA,KAPPA,F1 MACRO,P MACRO,ENTROPY,LOGp,Pmax,Ptrue,AUC MACRO,F1 bin,P bin
Inp_NoFu_MVCCA,0.03691181678985701,0.024007768935376785,0.05415552054805327,0.021398659840055283,0.041972885803973424,0.04477794418988547,0.10230095353013555,0.016477485851925173,0.02095021568442773,0.038727191531605434,0.03757095246251309,0.013521187544859259
Inp_NoFu_PCAind,0.02611616446281244,0.03900497255237104,0.08451988743976807,0.056856059699501096,0.01227302115696418,0.03005775918209194,0.03180623540837665,0.013684855908676793,0.011395220937384681,0.011500051421658846,0.013109557465472581,0.022903047282088133
Inp_raw,0.08039132765217129,0.07515189491485465,0.15837890982992908,0.07978334131983777,0.13228070900976088,0.060701468953097325,0.07605133137285468,0.03565702494634845,0.034779229950928324,0.0715301558148201,0.07166069935673863,0.050785006826667416
MuFu_Deci_avg,0.09192978393475594,0.07561006618922604,0.16338993465558982,0.08398762840510818,0.1090666031754063,0.06961267991297944,0.129056608576348,0.03663040274429456,0.03395688658248436,0.07576105971344792,0.09045884012107214,0.047325635844635616
MuFu_Feat_avg,0.04131804976550374,0.051309981843839475,0.10645198658623947,0.06215258196922829,0.08076705882006277,0.044174164617232475,0.041359572499502326,0.020698175588426272,0.013229527981051313,0.03704291737947985,0.03284656436946279,0.03568557514180099
MuFu_Feat_avg_MuLoss,0.06195525589826526,0.05222780927793795,0.11200152274306031,0.06310874757655371,0.06630103957442053,0.0426294767565127,0.0477193806458205,0.020094567537467585,0.026373832774860186,0.04128385674852967,0.06992754930050578,0.03854381051516088
MuFu_Feat_avg_adapt,0.06446796999326636,0.07468623411767379,0.16030502032649366,0.10541297375732041,0.13913715582987984,0.06589085548177283,0.0665508189574937,0.02891761007176725,0.040667620328427,0.07853082815041107,0.055359730441567764,0.04719456195752812
MuFu_Feat_avg_adaptF,0.042399045081917316,0.03607358856265573,0.07929543638783627,0.038738686945813366,0.054113899352293056,0.058247811330114085,0.046406711275127716,0.029037080607266137,0.023311973776822325,0.035198362574175975,0.04070971574895719,0.0248497863952505
MuFu_Feat_concat,0.03911418744893016,0.051989515207421726,0.1126433499307305,0.08689533673723779,0.13102238669539695,0.07667081919916559,0.03465804200975992,0.05601055834931928,0.0323673167306223,0.09788392582986213,0.040768433571612354,0.035801660492613296
MuFu_Feat_concat_adapt,0.07573847697420161,0.06117516867565702,0.1315051993326441,0.06670139204844706,0.09208654961705463,0.06992580587673919,0.15214488652658095,0.03321483902206819,0.04893230297052903,0.07234525360284068,0.07754175155092857,0.03851657893316468
MuFu_Feat_max,0.08391147542888419,0.08028585275946828,0.17892260248867697,0.12423303623696098,0.20676046485164834,0.1425446519691975,0.05301108515366307,0.10971133178042099,0.06301749491259465,0.16730862971620136,0.09081427449980495,0.046775595570510115
MuFu_Feat_prod,0.0,0.0,0.0,0.0,0.0,0.004160096089005801,0.00926222314527649,0.021259659672550692,0.00596552273511156,0.12775850805820418,0.0,0.0
Pool_DEM,0.011182776682401207,0.008732289965909816,0.021450166888009322,0.004298201761551323,0.002126064060133034,0.03789854423663223,0.02454884077191449,0.02667035289398034,0.007585279979803699,0.008855955079368918,0.008596403523102645,0.004252128120266068
Pool_S1,0.012223544644922004,0.010383148513969294,0.022642958855748466,0.011063266194617205,0.021355429149852286,0.037767869587926835,0.016158093536031762,0.02029575108607089,0.010810040210040282,0.02782253678981242,0.012097457068636073,0.0075936116836111695
Pool_S2,0.03203567685943758,0.027234636342876324,0.06061662133745225,0.04303846471056686,0.0758697394349034,0.05336248816153393,0.04313881005266527,0.032405941326441326,0.018932145699869726,0.03835934932052222,0.033558672976547785,0.01590526911745916
Pool_VI,0.016186836982887358,0.025228500386362315,0.049073378822142806,0.031741027777809794,0.04038226298251893,0.05521054135959957,0.027417163645450108,0.028703950474983374,0.022231249520187076,0.020080369003728577,0.010738729575856771,0.018144267328138862
Pool_weather,0.0,0.0,0.0,0.0,0.0,0.08670995627524387,0.037374709878157476,0.06124548302599287,0.022749030366938146,0.0,0.0,0.0
EnsembleAVG,0.03639531082336754,0.053170595243779616,0.123717287463795,0.09362082698239196,0.05700696966719893,0.02248833030698956,0.01254981994907629,0.01952805650951361,0.009377393881667716,0.01425906728111301,0.018991003915389566,0.02815233409041051
