,OA,AA,KAPPA,F1 MACRO,P MACRO,ENTROPY,LOGp,Pmax,Ptrue,AUC MACRO,F1 bin,P bin
Inp_NoFu_MVCCA,0.8018493852459017,0.8108752034560915,0.5846620756029138,0.7905860977493363,0.7848082405348455,0.543272669266055,-0.40749888889201713,0.8250240657169057,0.745812119651103,0.8974357833483694,0.8391280673821958,0.9043642187729048
Inp_NoFu_PCAind,0.7339600409836066,0.7373311884878079,0.4445765785009086,0.7196222582852707,0.7167742211644992,0.782040166707283,-0.5285762918591969,0.720845123102459,0.6408391425404605,0.8192804809696153,0.7829458370433977,0.8486484156229995
Inp_raw,0.8047950819672132,0.811926288925787,0.589285215504819,0.7930255624699578,0.7875205642472497,0.5270833781981118,-0.39525916660827115,0.8293689273597336,0.7515759409033393,0.8965698432144833,0.8421501514078292,0.902831527135087
MuFu_Deci_avg,0.797453893442623,0.7905347194675447,0.5627524612601995,0.7807762557937105,0.7757510284002506,0.5944185373957449,-0.4218561559129149,0.8043654502857069,0.7284567218815148,0.8780955298751356,0.8410550584594423,0.8726909701139547
MuFu_Feat_avg,0.8051946721311476,0.8051602198437411,0.5840925392868446,0.7911563114737888,0.784836333931175,0.5398211914137996,-0.39944353288798684,0.8244841225856046,0.7479786069414088,0.891336641871644,0.8452263282748564,0.8896056936343871
MuFu_Feat_avg_MuLoss,0.8125870901639345,0.8162842979287556,0.6020865890343244,0.7999081163696359,0.7937094006709938,0.522767991946947,-0.3861972359661037,0.830464915583504,0.7564628373074207,0.9011656972152112,0.8500812704322327,0.9014216240839245
MuFu_Feat_avg_adapt,0.8109477459016393,0.816442101457161,0.6003618006772704,0.7988637774797732,0.7927235392171721,0.5311260844026231,-0.3907790776471157,0.827213654191547,0.7531583908843417,0.9001154606737366,0.8479990099767886,0.9035669709681224
MuFu_Feat_avg_adaptF,0.8185809426229508,0.8212731875587258,0.6135710164426407,0.8058541969226176,0.7991854918596927,0.5106684117763403,-0.37417087968519375,0.8334651279123463,0.7630783056029923,0.9055798454728313,0.855457498667246,0.9030880927615786
MuFu_Feat_concat,0.8082735655737705,0.8130475001959965,0.5945160323213916,0.7959304735856864,0.7899485511701654,0.5384258888904159,-0.395197432392007,0.8253747620923155,0.74992536770919,0.896942072789013,0.8459233002987976,0.9004048635192557
MuFu_Feat_concat_adapt,0.8011014344262295,0.8031779812241183,0.5772996131642875,0.7874757114402604,0.7816810439566249,0.5334095137786179,-0.40758268157498706,0.8270488743575306,0.7467919770206461,0.8880703650917907,0.8410607535512999,0.8913118633296332
MuFu_Feat_max,0.8053483606557377,0.8109058549719345,0.5891224866409981,0.7931204393958288,0.787338580224542,0.5355615011220033,-0.39841513160613284,0.8259225483336066,0.7488831504786639,0.8950661655006336,0.843213161230201,0.9001451480354241
MuFu_Feat_prod,0.8094159836065573,0.7951238756527854,0.5813132187617555,0.7904889555610073,0.7873234683602452,0.6290744831826274,-0.4260989764323435,0.7948795445775103,0.7234948459980116,0.8875019131600841,0.8533529720628936,0.8677859511704993
Pool_DEM,0.6612397540983607,0.6493139302626821,0.2834047459140698,0.6394876489092376,0.638046172488097,0.9114379254970342,-0.636453070818744,0.6477013234324795,0.557293857103499,0.6972384476139325,0.7279359239839822,0.7748675639656
Pool_S1,0.6933299180327869,0.7112440455086373,0.38223115415909537,0.6838910353563599,0.6900033873188864,0.7624147153908243,-0.5489734281115636,0.7243259436803279,0.6314620875241727,0.7860176484629777,0.7380650705180305,0.8455063398941798
Pool_S2,0.7711475409836066,0.7866542750059384,0.5291147921240659,0.7610643339526325,0.7597971866396886,0.5964138977738627,-0.447720718102455,0.8016223138758709,0.7146317563349953,0.8674008392161543,0.8097707988424798,0.8976130910663518
Pool_VI,0.677592213114754,0.7047739721298796,0.3632249144174745,0.670738154795046,0.6847866720336772,0.7603484975356755,-0.5581601781673118,0.722118273496875,0.6270675208552572,0.7796655363225435,0.7169181286909547,0.8521368044927392
Pool_weather,0.7161168032786885,0.7266298544243144,0.4175366460797906,0.704145870532374,0.7052079571142805,0.7412480692668861,-0.5304994878991227,0.7298395317607069,0.6464980702905955,0.8123164975245931,0.7631776393893203,0.8489557754846102
EnsembleAVG,0.7710860655737706,0.7919403304676886,0.5336492254359461,0.7625979059869271,0.7628907731583265,0.8543293670461061,-0.49436181091421616,0.6801056751972481,0.6353906584217038,0.8747458656435063,0.8074234175756286,0.9081768765719692
