,OA,AA,KAPPA,F1 MACRO,P MACRO,ENTROPY,LOGp,Pmax,Ptrue,AUC MACRO,F1 bin,P bin
Inp_NoFu_MVCCA,0.004104009796302756,0.0024911641508451924,0.00679697567082378,0.003655313322340951,0.0032104645161746556,0.014563674415732098,0.00513272909534446,0.005410112265788365,0.004432621374831587,0.0018383696653203982,0.004232686725811313,0.002888340610422482
Inp_NoFu_PCAind,0.004711162307439048,0.0028938765823429925,0.00656020297797738,0.0037243261456514154,0.0029987051647409014,0.01392217707899198,0.005493762414671497,0.007671048838703493,0.00545150802578622,0.0031366845025990885,0.005725479353421931,0.004447252452837058
Inp_raw,0.012406739124943871,0.009008043278397309,0.021155291972730975,0.01122830082197798,0.010276220917089046,0.025278231008018633,0.017784177232320814,0.010095135681424009,0.011652311661360852,0.008033111383672518,0.01258915032916617,0.010781200911997938
MuFu_Deci_avg,0.012858029390380592,0.014032932375681739,0.026288375499028103,0.013243788227705161,0.013133170855907874,0.045568101948383066,0.022725463053261622,0.017217252255598878,0.01873873226773035,0.013188543975566161,0.011357203816701095,0.014285654552462404
MuFu_Feat_avg,0.013089341520472945,0.017948288227635636,0.030483451863811663,0.015050041543480693,0.014537204989161912,0.032733454433500425,0.02342102242275479,0.012643231395587163,0.014830703824203208,0.015287666112203424,0.009499574380207246,0.017887011756528362
MuFu_Feat_avg_MuLoss,0.009254111179367886,0.014460162469293483,0.022131349500131303,0.010916561045515562,0.009888092875590395,0.03714233575347,0.017755008828743094,0.013631002882546832,0.013765778642760526,0.01122285398473647,0.007334087604390149,0.017837278649514426
MuFu_Feat_avg_adapt,0.0090981404661856,0.007494023358647238,0.01594103286211238,0.00839761584690954,0.007580051436605423,0.03524497949766299,0.0142309078181359,0.013037303807993025,0.012055161738938851,0.005983429446199291,0.009328356198898654,0.010922153102258483
MuFu_Feat_avg_adaptF,0.00864944839125459,0.013692173764958328,0.021223597463727168,0.010408200839146729,0.009714981854864631,0.04279384463022555,0.015755476439926714,0.015996442433532685,0.014824272895813206,0.010686435520974773,0.006144032255492393,0.015935589463090632
MuFu_Feat_concat,0.013937172638983015,0.010787604989184317,0.02494596334933252,0.013103992267922946,0.011924409605286823,0.037548522733738036,0.024295890345645728,0.013641508948388366,0.01641607034100786,0.010570625175498418,0.013582054459358273,0.009992026117195334
MuFu_Feat_concat_adapt,0.011944162246966237,0.019460311311260376,0.03023092480268125,0.014751322467579398,0.013882194844981212,0.024974799739872725,0.028641828550999466,0.010087372267247931,0.01370780233521906,0.018288098859434426,0.008157094968400131,0.022188720096825452
MuFu_Feat_max,0.012556054145017691,0.010919726083406833,0.02296793809008045,0.011946271368942423,0.011131182329856108,0.02671457733060531,0.020918824528092524,0.009584722400404491,0.013081643402773973,0.009999516338343365,0.012188295105701226,0.012397586616461266
MuFu_Feat_prod,0.007253707616594873,0.012486603271910465,0.01914751224918329,0.00951132108248137,0.007768075337133949,0.04632181012353335,0.015278681668974435,0.01910583776961149,0.017036009643944774,0.008988871814782532,0.0049784068066446585,0.013750987366982912
Pool_DEM,0.0046205873604246925,0.0008349841871996567,0.003704358634224053,0.0025870985010558213,0.0017913959598063593,0.011252673825529405,0.003985502482355958,0.009865277580629443,0.004718092421394048,0.0007198252722172895,0.006498587510470145,0.002080379171434574
Pool_S1,0.018096965067022856,0.014053987126898117,0.02922680034100651,0.01660759557006605,0.012836764144414666,0.03153478752139807,0.021654315725248795,0.01539493544860853,0.016858945661121196,0.019317256511980636,0.020072498577965576,0.009783315914090752
Pool_S2,0.006458747815789447,0.008367269144743821,0.011284384504926416,0.005746879802651845,0.005972168149218739,0.02036886875238812,0.012183278644896723,0.010154464712768286,0.007581013873964459,0.007513748295530936,0.00835393845102705,0.016736368638510093
Pool_VI,0.015029480098447241,0.007890544810162999,0.017838080629589532,0.01266665924913676,0.00626947700311184,0.02350618861516317,0.013402356936659927,0.011229854223051824,0.010491048507327776,0.008123998542251714,0.021870363399458775,0.013523465301160335
Pool_weather,0.013148467986422593,0.007753091987263377,0.018757528175672673,0.010924233509990243,0.008132470764278572,0.013726353480806074,0.01469049091502368,0.006773354392411348,0.00619700171589365,0.006355016905808915,0.015773425166869075,0.009123449547682221
EnsembleAVG,0.008025345866800017,0.007782892903741075,0.014978909772117664,0.007849838118225313,0.007143998384865745,0.011381604840041647,0.008389680336376644,0.008259965695311582,0.006491130823109115,0.0063478902829367505,0.007728119930207689,0.008027485586100133
